date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:12	14513/14513	---M--	200	added ('OK')	image/png	etag:%22594a3563-38b1%22	http://3dui.org/2017/sites/all/themes/color_glass/css/images/bg-footer.png	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/themes/color_glass/css/images/bg-footer.png	(from http://3dui.org/2017/sites/all/themes/color_glass/css/main.css-ol7r1z.css)
13:06:12	1121/1121	---M--	200	added ('OK')	image/png	etag:%22594a3563-461%22	http://3dui.org/2017/sites/all/themes/color_glass/css/images/img-list.png	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/themes/color_glass/css/images/img-list.png	(from http://3dui.org/2017/sites/all/themes/color_glass/css/main.css-ol7r1z.css)
13:06:12	205/205	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202020%2017:06:13%20GMT	http://3dui.org/node/49	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/node/49	(from http://3dui.org/2017/venue.htm)
13:06:12	613794/613794	---M--	200	added ('OK')	image/jpeg	etag:%22594a3564-95da2%22	http://3dui.org/2017/sites/all/themes/color_glass/css/images/img-bg.jpg	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/themes/color_glass/css/images/img-bg.jpg	(from http://3dui.org/2017/sites/all/themes/color_glass/css/main.css-ol7r1z.css)
13:06:13	23672/23672	---M--	200	added ('OK')	text/html	etag:%22594a353f-5c78%22	http://3dui.org/2017/presenters.htm	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/presenters.html	(from http://3dui.org/2017/venue.htm)
13:06:13	5680/5680	---M--	200	added ('OK')	application/javascript	etag:%22594a3560-1630%22	http://3dui.org/2017/sites/all/themes/color_glass/js/gmap.js	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/themes/color_glass/js/gmap.js	(from http://3dui.org/2017/venue.htm)
13:06:13	204/204	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202020%2017:06:14%20GMT	http://3dui.org/awards	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/awards	(from http://3dui.org/2017/awards.htm)
13:06:14	139508/139508	---M--	200	added ('OK')	image/jpeg	etag:%22594a3551-220f4%22	http://3dui.org/2017/sites/default/files/3dui2017/hotelMarriot.jpg	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/default/files/3dui2017/hotelMarriot.jpg	(from http://3dui.org/2017/venue.htm)
13:06:14	205/205	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202020%2017:06:14%20GMT	http://3dui.org/node/44	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/node/44	(from http://3dui.org/2017/awards.htm)
13:06:14	24938/24938	---M--	200	added ('OK')	text/html	etag:%22594a353e-616a%22	http://3dui.org/2017/posterAwards.htm	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/posterAwards.html	(from http://3dui.org/2017/awards.htm)
13:06:14	25075/25075	---M--	200	added ('OK')	text/html	etag:%22594a353d-61f3%22	http://3dui.org/2017/contest_awards.htm	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/contest_awards.html	(from http://3dui.org/2017/awards.htm)
13:06:15	120461/120461	---M--	200	added ('OK')	image/jpeg	etag:%22594a354e-1d68d%22	http://3dui.org/2017/sites/default/files/3dui2017/BestPaper.JPG	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/default/files/3dui2017/BestPaper.jpg	(from http://3dui.org/2017/awards.htm)
13:06:15	240/240	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202020%2017:06:15%20GMT	http://3dui.org/sites/default/files/3dui2017/BestPaper.JPG	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/sites/default/files/3dui2017/BestPaper.JPG	(from http://3dui.org/2017/awards.htm)
13:06:15	120538/120538	---M--	200	added ('OK')	image/jpeg	etag:%22594a3550-1d6da%22	http://3dui.org/2017/sites/default/files/3dui2017/HonorablePaper.JPG	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/default/files/3dui2017/HonorablePaper.jpg	(from http://3dui.org/2017/awards.htm)
13:06:15	245/245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202020%2017:06:16%20GMT	http://3dui.org/sites/default/files/3dui2017/HonorablePaper.JPG	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/sites/default/files/3dui2017/HonorablePaper.JPG	(from http://3dui.org/2017/awards.htm)
